creation,exit,response,execution,wait,io
2943,2952,9,3,27,24
2949,2983,34,1,11,22
2953,2986,33,2,9,22
2963,2990,27,1,14,12
2961,3010,49,4,33,12
2965,3012,47,1,39,7
2967,3013,46,1,40,5
2970,3015,45,2,41,2
2993,3020,27,2,25,0
2969,3045,76,3,68,5
2962,3037,75,2,64,18
2964,3015,51,4,67,12
2975,3116,141,9,131,1
2977,3050,73,6,67,66
2974,3243,269,21,247,1
2941,3184,243,33,228,374
2966,3075,109,6,161,448
2972,3142,170,10,209,390
2976,3179,203,11,241,353
2978,3114,136,9,176,418
2958,3621,663,82,566,18
2960,3270,310,27,305,333
2944,3521,577,63,528,126
2951,3611,660,81,563,66
2957,3376,419,37,397,270
2973,3210,237,17,276,359
2982,3618,636,42,282,355
2947,3677,730,2,167,561
2984,3575,591,16,181,481
2988,3674,686,2,70,617
2995,3613,618,79,552,51
2994,3539,545,52,520,113
2940,3664,724,1,116,624
2942,3577,635,77,579,83
2946,3160,214,26,237,473
2948,3625,677,2,140,592
2937,3683,746,11,20,715
2952,3637,685,90,586,54
2954,3041,87,6,182,540
2955,3174,219,20,261,446
2968,3382,414,34,427,255
2979,3082,103,6,172,528
2980,3685,705,1,221,483
2981,3685,704,1,195,508
2936,3691,755,15,39,701
2989,3740,751,12,121,618
2939,3747,808,151,657,0
2959,3765,806,136,658,12
3000,3772,772,52,151,569
2992,3798,806,2,291,513
2986,3862,876,47,215,614
2971,3862,891,48,398,446
2991,3863,872,47,207,618
2997,3872,875,52,288,535
2999,3874,875,52,360,463
2956,3875,919,56,757,106
2985,3880,895,54,289,552
2945,3886,941,57,759,125
2987,3906,919,74,232,613
2998,3907,909,119,231,559
3001,3949,948,65,283,600
2950,3953,1003,71,651,282
2990,3984,994,6,234,754
2996,4325,1329,7,242,1081
4670,4679,9,3,6,0
4676,4745,69,0,42,28
4680,4759,79,1,35,435
4681,4799,118,8,66,414
4678,5076,398,68,279,161
4715,5151,436,0,61,410
4713,5219,506,50,144,357
4706,5243,537,9,63,516
4671,4988,317,67,290,266
4673,4786,113,29,124,469
4716,5237,521,14,81,485
4665,5201,536,132,425,83
4669,5054,385,76,340,220
4668,4816,148,38,157,451
4675,5310,635,3,56,581
4679,5201,522,111,383,143
4688,5362,674,3,89,588
4690,5383,693,0,79,614
4682,4856,174,17,163,567
4687,5393,706,29,119,595
4689,5398,709,1,85,675
4693,5418,725,4,89,664
4691,5451,760,4,96,662
4692,5455,763,1,78,684
4698,5456,758,1,87,673
4703,5200,497,7,108,642
4702,5216,514,28,122,610
4705,5231,526,6,95,657
4708,5356,648,0,74,681
4712,5354,642,73,322,356
4672,5447,775,69,445,279
4720,5370,650,2,93,648
4727,5434,707,62,136,538
4704,5250,546,15,104,644
4697,5461,764,3,101,668
4714,5287,573,73,191,491
4721,5311,590,47,116,586
4707,5236,529,6,96,662
4711,5338,627,19,122,619
4661,5472,811,16,48,746
4677,5452,775,71,378,346
4718,5299,581,40,122,594
4663,5446,783,8,46,758
4674,5472,798,1,72,729
4666,5461,795,1,68,741
4694,5458,764,3,97,685
4722,5427,705,80,178,502
4700,5498,798,11,121,668
4701,5513,812,17,130,665
4725,5516,791,109,187,495
4684,5540,856,41,157,658
4709,5565,856,2,62,792
4695,5571,876,38,162,676
4710,5597,887,42,172,673
4726,5628,902,59,304,539
4728,5642,914,69,321,524
4685,5654,969,82,202,685
4683,5655,972,66,331,575
4724,5659,935,62,277,596
4686,5680,994,106,205,683
4699,5717,1018,73,274,671
4719,5969,1250,5,74,1171
4717,6079,1362,5,68,1289
4723,6389,1666,7,83,1577
6413,6431,18,4,13,4
6419,6437,18,1,19,8
6423,6448,25,2,21,27
6424,6482,58,8,44,6
6431,6506,75,3,44,28
6432,6487,55,1,35,40
6434,6508,74,4,42,28
6435,6486,51,1,31,40
6440,6508,68,3,45,22
6438,6488,50,2,32,38
6441,6488,47,1,37,31
6427,6799,372,36,309,73
6449,6610,161,10,140,370
6411,6687,276,34,256,314
6409,7017,608,2,97,509
6433,6485,52,2,120,469
6443,6971,528,12,201,361
6446,6604,158,11,155,412
6447,6631,184,11,172,437
6453,7005,552,43,371,200
6458,7069,611,1,62,548
6448,6986,538,4,173,450
6454,7038,584,21,75,526
6421,6972,551,71,498,101
6425,6579,154,19,203,444
6437,6549,112,5,165,506
6451,7093,642,1,113,548
6459,7108,649,17,91,551
6463,7109,646,0,92,563
6408,7052,644,125,541,46
6414,6885,471,64,447,196
6416,6601,185,31,223,452
6422,7020,598,90,537,73
6428,7016,588,84,512,98
6429,7046,617,109,512,72
6412,6894,482,63,464,189
6404,7128,724,20,37,667
6418,7129,711,1,92,618
6439,7009,570,33,364,293
6406,7137,731,5,29,717
6456,7144,688,52,118,533
6417,7129,712,2,147,593
6445,7160,715,27,151,537
6452,7124,672,2,274,432
6430,6726,296,31,342,363
6450,7143,693,7,143,567
6444,7193,749,16,167,566
6461,7226,765,41,174,550
6415,7264,849,73,671,105
6464,7268,804,45,186,573
6465,7278,813,83,213,517
6470,7294,824,52,198,574
6442,7320,878,60,335,483
6420,7322,902,75,723,104
6457,7332,875,85,241,549
6455,7347,892,62,263,567
6468,7377,909,95,240,574
6426,7381,955,64,253,638
6467,7382,915,63,318,534
6469,7408,939,64,302,574
6471,7447,976,81,320,575
6462,7826,1364,5,89,1270
6460,8001,1541,6,100,1436
6466,8194,1728,10,88,1631
