creation,exit,response,execution,wait,io
2751,2764,13,4,10,0
2757,2775,18,1,15,2
2761,2795,34,2,26,65
2762,2859,97,9,81,7
2771,2864,93,1,22,70
2768,3331,563,26,462,370
2749,3178,429,28,404,449
2750,3550,800,58,748,86
2752,3625,873,79,804,24
2759,3601,842,68,780,53
2795,3659,864,1,55,813
2773,2888,115,1,63,843
2775,2866,91,1,60,844
2774,2937,163,5,109,794
2770,3687,917,2,73,844
2754,3129,375,31,368,550
2756,3683,927,2,61,928
2772,3698,926,4,85,900
2778,3691,913,1,75,908
2780,3074,294,12,248,723
2783,3039,256,9,212,759
2785,2967,182,5,153,821
2790,3587,797,50,725,200
2747,3737,990,128,873,21
2760,3737,977,117,866,28
2763,3039,276,21,294,694
2765,3425,660,31,598,378
2769,3689,920,4,108,892
2788,3774,986,1,124,861
2748,3705,957,2,138,887
2755,3777,1022,1,225,796
2746,3783,1037,6,76,959
2766,3693,927,89,797,348
2777,3696,919,2,117,1105
2787,2968,181,5,171,1039
2784,3053,269,11,254,954
2776,3439,663,33,638,587
2786,3043,257,9,247,992
2792,3996,1204,55,391,764
2793,3811,1018,62,159,1020
2800,3779,979,2,93,1108
2801,3974,1173,49,235,918
2807,4006,1199,62,241,928
2753,3971,1218,58,1050,178
2767,3800,1033,133,848,292
2796,3830,1034,13,127,1104
2802,4040,1238,81,266,892
2744,4043,1299,19,83,1196
2782,3280,498,23,476,768
2791,3209,418,18,410,830
2789,3779,990,3,283,975
2798,3980,1182,52,252,948
2794,4044,1250,82,286,892
2805,4090,1285,95,291,899
2781,4096,1315,17,145,1153
2779,4159,1380,46,419,915
2806,4162,1356,49,388,919
2808,4184,1376,59,401,916
2758,4186,1428,65,292,1071
2764,4219,1455,52,288,1115
2804,4223,1419,55,345,1020
2799,4399,1600,1,96,1503
2797,4557,1760,1,74,1685
2803,4817,2014,2,89,1924
6305,6315,10,3,15,37
6311,6487,176,1,99,106
6303,6492,189,33,165,23
6315,6547,232,2,45,185
6325,6551,226,1,54,171
6324,6558,234,2,61,171
6319,6951,632,30,465,237
6316,6666,350,8,168,560
6326,6591,265,3,109,615
6327,6561,234,1,80,645
6329,6562,233,1,80,644
6331,6595,264,3,109,611
6322,6952,630,28,449,276
6304,6949,645,64,599,193
6306,6983,677,62,633,159
6336,7145,809,20,165,713
6314,7207,893,86,626,208
6339,7201,862,5,123,768
6323,6588,265,4,147,786
6328,6620,292,4,183,745
6308,6626,318,23,293,655
6313,7220,907,87,651,229
6349,7289,940,1,120,819
6355,7176,821,2,114,820
6309,7177,868,2,119,863
6302,7293,991,2,69,920
6320,7239,919,92,665,217
6330,7061,731,41,584,340
6334,7144,810,11,173,777
6338,7168,830,13,162,782
6335,7236,901,14,168,781
6340,7218,878,10,153,795
6345,7251,906,19,163,772
6300,7303,1003,9,62,1090
6332,6564,232,1,144,984
6337,7201,864,8,184,932
6347,7453,1106,52,270,793
6353,7463,1110,40,244,826
6310,7294,984,1,141,1012
6321,7276,955,113,697,335
6301,7255,954,133,848,184
6341,7203,862,6,159,962
6342,7468,1126,1,163,962
6344,7338,994,46,223,855
6350,7358,1008,13,181,925
6317,6825,508,19,392,744
6299,7478,1179,16,82,1081
6307,7486,1179,70,904,205
6356,7525,1169,52,289,828
6318,7559,1241,65,502,674
6343,7570,1227,1,152,1074
6348,7612,1264,90,373,801
6357,7649,1292,96,369,827
6346,7655,1309,60,481,768
6333,7655,1322,63,507,752
6362,7664,1302,56,276,970
6360,7687,1327,120,384,823
6361,7776,1415,58,403,954
6359,7789,1430,63,415,952
6363,7800,1437,71,387,979
6312,7803,1491,72,398,1021
6354,7867,1513,1,163,1349
6352,8009,1657,1,128,1528
6358,8459,2101,1,195,1905
8485,8530,45,2,30,77
8486,8577,91,8,71,30
8481,8514,33,3,31,84
8495,8608,113,1,28,84
8503,8612,109,1,32,76
8493,8644,151,3,93,404
8515,9353,838,50,529,259
8487,8752,265,19,274,574
8489,9150,661,30,549,292
8492,9127,635,28,531,310
8500,8610,110,1,90,770
8507,8996,489,20,399,435
8511,8793,282,10,238,602
8514,9361,847,1,249,597
8473,8914,441,31,407,469
8474,9298,824,62,759,86
8475,8525,50,3,85,818
8472,9362,890,2,125,864
8520,9378,858,2,72,917
8525,9391,866,2,61,924
8476,9298,822,61,776,232
8478,8804,326,24,328,740
