creation,exit,response,execution,wait,io
8483,9328,845,69,793,226
8506,8912,406,14,360,692
8510,8687,177,4,174,885
8512,8725,213,6,217,839
8516,9224,708,16,297,745
8521,9431,910,13,121,921
8526,9541,1015,46,178,827
8484,9483,999,116,887,91
8491,9458,967,98,807,183
8494,8635,141,2,134,950
8498,8609,111,1,134,947
8501,9193,692,33,627,420
8470,9584,1114,6,30,1097
8490,9405,915,85,780,249
8496,8672,176,5,174,1013
8502,8639,137,3,148,1037
8513,9571,1058,0,334,843
8518,9546,1028,51,194,927
8471,9598,1127,159,972,91
8519,9640,1121,82,236,856
8480,9695,1215,1,123,1091
8499,8709,210,6,215,975
8509,8832,323,12,298,877
8468,9696,1228,18,34,1176
8527,9662,1135,88,248,833
8479,9698,1219,3,211,1005
8508,8760,252,8,264,919
8523,9623,1100,50,217,913
8477,9761,1284,68,987,229
8532,9786,1254,67,209,978
8505,9805,1300,10,212,1078
8530,9833,1303,97,280,926
8531,9903,1372,58,337,977
8529,9910,1381,62,359,960
8517,9910,1393,61,488,844
8504,9912,1408,58,397,953
8488,9916,1428,62,481,885
8533,9929,1396,72,357,967
8482,10001,1519,83,303,1133
8524,10244,1720,1,123,1596
8522,10347,1825,2,130,1693
8528,10573,2045,1,113,1931
