creation,exit,response,execution,wait,io
552,592,40,34,0,5
555,568,13,5,5,3
554,640,86,81,2,3
556,651,95,83,10,2
558,677,119,24,95,0
565,679,114,2,112,0
567,697,130,18,112,0
564,698,134,104,30,0
557,701,144,52,90,2
561,705,144,1,143,0
566,714,148,9,139,0
587,723,136,9,127,0
569,738,169,40,129,0
563,771,208,69,139,0
600,785,185,13,172,0
562,785,223,61,161,1
606,828,222,90,132,0
594,838,244,43,201,0
608,851,243,53,188,2
568,882,314,53,257,4
575,890,315,2,313,0
581,893,312,3,309,0
609,944,335,115,220,0
572,973,401,29,372,0
574,975,401,2,399,0
576,979,403,3,400,0
578,984,406,4,402,0
571,1015,444,127,316,1
580,1026,446,42,404,0
582,1028,446,1,445,0
573,1037,464,3,461,0
584,1038,454,9,445,0
577,1039,462,1,461,0
579,1041,462,1,461,0
585,1059,474,17,457,0
586,1063,477,24,453,0
588,1094,506,13,493,0
589,1100,511,5,506,0
595,1119,524,18,503,3
583,1123,540,47,493,0
597,1172,575,52,523,0
590,1210,620,11,609,0
602,1239,637,116,521,0
591,1261,670,6,664,0
598,1290,692,74,618,0
599,1310,711,1,710,0
596,1312,716,56,659,1
604,1339,735,2,733,0
549,1382,833,826,5,2
560,1383,823,1,94,728
610,1431,821,48,773,0
592,1449,857,1,619,237
605,1457,852,146,706,0
611,1468,857,113,744,0
570,1469,899,582,316,1
612,1547,935,59,876,0
550,1632,1082,2,1,1079
547,1648,1101,10,0,1090
546,1650,1104,18,0,1086
593,1689,1096,4,517,576
559,1898,1339,6,313,1021
603,2169,1566,11,182,1374
601,2206,1605,11,461,1134
607,2528,1921,16,734,1172
519,557,38,32,1,5
521,536,15,5,6,4
524,601,77,42,34,1
522,605,83,69,12,2
532,614,82,8,74,0
548,620,72,1,71,0
527,623,96,1,95,0
523,671,148,64,82,2
529,690,161,66,95,0
528,762,234,71,163,0
537,771,234,99,134,1
575,861,286,98,188,0
530,871,341,85,256,0
531,874,343,2,341,0
520,886,366,360,6,0
533,897,364,23,341,0
535,908,373,31,342,0
538,926,388,25,363,0
556,932,376,10,366,0
539,950,411,3,408,0
540,953,413,2,410,1
544,957,413,5,408,0
550,969,419,11,408,0
534,970,436,59,376,2
554,983,429,13,416,0
536,992,456,95,361,0
541,1012,471,1,469,1
566,1026,460,14,446,0
571,1071,500,44,456,0
572,1077,505,105,400,0
542,1080,538,3,535,0
545,1082,537,1,536,0
547,1085,538,3,535,0
576,1088,512,61,451,0
577,1088,511,62,449,0
551,1101,550,15,535,0
543,1105,562,1,561,1
557,1114,557,8,545,4
552,1131,579,26,550,3
560,1145,585,50,535,0
549,1166,617,58,554,5
563,1179,616,47,567,2
565,1181,616,2,612,2
562,1217,655,63,590,2
570,1219,649,2,645,2
568,1222,654,40,612,2
564,1226,662,71,589,2
553,1236,683,10,673,0
555,1253,698,4,693,1
546,1268,722,38,683,1
574,1289,715,62,649,4
526,1291,765,1,86,678
561,1319,758,29,729,0
578,1321,743,70,667,7
558,1341,783,0,384,399
515,1347,832,824,1,6
513,1514,1001,8,0,992
512,1516,1004,23,0,981
559,1534,975,3,411,561
517,1567,1050,5,1,1044
525,1745,1220,7,96,1119
569,2010,1441,11,460,971
573,2200,1627,11,43,1574
567,2206,1639,13,616,1010
2269,2305,36,33,1,2
2271,2287,16,5,11,0
2304,2321,17,15,2,0
2270,2344,74,66,7,1
2273,2365,92,78,14,0
2275,2367,92,22,70,0
2283,2378,95,7,88,0
2289,2394,105,25,80,0
2293,2399,106,2,103,1
2281,2413,132,91,41,0
2282,2418,136,2,134,0
2274,2444,170,62,108,0
2322,2445,123,45,78,0
2284,2467,183,21,162,0
2279,2489,210,70,139,1
2280,2520,240,75,165,0
2287,2549,262,81,181,0
2285,2554,269,58,208,3
2311,2557,246,42,204,0
2278,2564,286,0,285,1
2290,2572,282,3,279,0
2292,2574,282,1,281,0
2294,2576,282,2,280,0
2296,2577,281,1,280,0
2298,2581,283,3,280,0
2286,2594,308,30,278,0
2301,2594,293,12,281,0
2291,2602,311,2,307,2
2295,2605,310,4,304,2
2300,2656,356,58,297,1
2299,2658,359,1,358,0
2288,2681,393,115,278,0
2302,2696,394,14,380,0
2305,2710,405,13,392,0
2307,2719,412,8,404,0
2329,2727,398,70,328,0
2297,2729,432,115,317,0
2312,2755,443,28,415,0
2314,2767,453,47,406,0
2326,2875,549,107,442,0
2328,2926,598,50,548,0
2303,3019,716,62,654,0
2306,3025,719,5,714,0
2308,3032,724,7,717,0
2316,3034,718,1,717,0
2321,3038,717,2,715,0
2315,3054,739,299,440,0
2323,3055,732,325,407,0
2317,3072,755,16,739,0
2266,3096,830,827,1,1
2313,3120,807,66,741,0
2327,3167,840,60,777,3
2325,3171,846,64,780,2
2309,3203,894,1,416,477
2277,3261,984,2,141,841
2319,3298,979,212,767,0
2310,3374,1064,2,410,652
2265,3378,1113,11,1,1101
2262,3381,1119,18,2,1098
2268,3482,1214,6,8,1201
2276,3497,1221,7,93,1121
2320,3852,1532,9,60,1464
2318,4046,1728,16,744,969
2324,4240,1916,18,762,1137
