creation,exit,response,execution,wait,io
4442,4557,115,113,1,0
4446,4490,44,36,6,1
4448,4519,71,69,2,0
4453,4460,7,3,3,0
4460,4534,74,72,2,0
4496,4525,29,23,6,0
4525,4780,255,1,72,321
4531,4537,6,1,5,0
4537,4612,75,70,5,0
4543,4637,94,93,1,0
4552,4563,11,2,9,0
4557,4576,19,9,9,0
4563,4593,30,21,9,0
4588,4636,48,35,12,0
4593,4689,96,77,18,0
4612,4755,143,128,14,0
4636,4676,40,25,14,0
4652,4673,21,4,17,0
4673,4693,20,2,18,0
4676,4696,20,1,18,0
4689,4712,23,3,19,0
4693,4715,22,1,20,0
4696,4720,24,4,20,0
4712,4734,22,1,21,0
4716,4788,72,51,25,129
4721,4748,27,4,23,0
4734,4759,25,1,23,0
4760,4949,189,21,19,149
4780,4968,188,7,27,153
4490,4976,486,57,420,8
4788,4928,140,8,40,131
4772,4961,189,24,21,150
4797,4964,167,12,22,132
4801,4965,164,6,35,122
4784,4992,208,12,46,150
4577,5036,459,59,61,339
4755,4934,179,10,123,148
4837,5040,203,75,40,88
4748,5041,293,55,82,156
4826,5063,237,21,106,110
4438,5038,600,16,41,568
4440,5039,599,10,53,560
4823,5086,263,45,106,111
4847,5065,218,1,128,89
4444,5088,644,1,153,489
4836,5093,257,50,107,100
4848,4980,132,16,146,79
4861,5129,268,40,158,70
4869,5091,222,3,160,60
4888,5089,201,120,78,47
4534,5158,624,63,49,512
4895,5160,265,67,161,37
4878,5168,290,100,133,57
4893,5187,294,52,198,44
4812,5188,376,2,105,268
4877,5205,328,44,185,99
4889,5219,330,54,231,45
4827,5222,395,61,229,106
4519,5246,727,3,55,669
4886,5247,361,60,249,53
4815,5381,566,3,113,450
4867,5841,974,20,131,823
4857,6014,1157,14,130,1012
4880,6207,1327,14,161,1151
7775,7889,114,112,0,2
7777,7817,40,28,7,4
7780,7851,71,69,1,1
7781,7821,40,3,36,0
7789,7850,61,58,3,0
7821,7847,26,22,4,0
7850,8230,380,1,68,327
7817,8306,489,61,387,40
7851,7864,13,1,4,7
7856,7929,73,65,6,2
7858,7957,99,92,6,1
7859,7868,9,2,6,0
7868,7882,14,6,8,0
7883,7914,31,22,10,8
7889,8320,431,62,88,280
7899,7958,59,35,11,12
7910,8006,96,81,14,0
7914,8063,149,118,31,0
7929,7997,68,25,43,0
7957,7977,20,4,16,0
7958,7996,38,2,36,0
7977,8015,38,1,46,0
7996,8018,22,3,18,0
8006,8026,20,2,17,0
8015,8040,25,4,20,0
8018,8040,22,1,20,0
8026,8084,58,38,22,132
8040,8054,14,3,10,0
8051,8075,24,1,23,0
8063,8237,174,12,27,143
8075,8256,181,15,7,159
8077,8273,196,21,16,159
8084,8266,182,9,55,159
8054,8364,310,57,103,150
8086,8320,234,13,62,159
8088,8328,240,5,117,154
8156,8305,149,39,25,84
8165,8324,159,2,80,76
8183,8348,165,75,27,62
8174,8379,205,48,89,66
7774,8366,592,10,29,567
7771,8372,601,17,28,565
7853,8434,581,74,126,380
8089,8382,293,12,125,157
8097,8387,290,6,127,157
8126,8440,314,51,131,132
7776,8437,661,2,177,486
8196,8451,255,116,84,54
8202,8450,248,66,120,62
8118,8459,341,17,179,145
8145,8473,328,15,193,118
8107,8480,373,41,187,145
8139,8475,336,2,206,127
8190,8522,332,67,202,63
8200,8541,341,62,217,62
8128,8543,415,83,196,135
8203,8546,343,74,217,53
8098,8565,467,6,126,335
7847,8580,733,2,98,632
8120,8599,479,75,263,141
8099,8790,691,8,139,545
8163,9126,963,13,84,867
8151,9426,1275,17,216,1041
8185,9482,1297,15,88,1195
9507,9623,116,113,0,2
9510,9555,45,31,9,5
9512,9589,77,64,10,10
9514,9580,66,3,61,2
9515,9577,62,61,0,0
9796,9973,177,10,5,161
9524,10007,483,68,406,9
9525,9578,53,22,35,0
9578,9943,365,1,68,295
9582,9621,39,1,29,9
9588,9686,98,65,9,24
9589,9709,120,85,9,26
9590,9633,43,1,17,24
9592,9642,50,7,14,29
9594,9654,60,21,12,26
9600,9696,96,30,40,26
9602,9783,181,79,77,24
9604,9741,137,99,14,23
9608,9740,132,28,89,15
9613,9729,116,4,99,13
9615,9751,136,2,142,13
9616,9751,135,2,126,6
9623,9775,152,3,149,0
9626,9753,127,2,125,0
9654,9734,80,5,75,0
9686,9794,108,1,104,2
9696,9814,118,39,78,128
9709,9755,46,2,43,1
9734,9754,20,1,19,0
9755,9771,16,15,1,0
9771,9983,212,21,24,166
9584,10033,449,73,38,337
9751,9996,245,14,103,166
9597,10037,440,65,73,302
9802,10042,240,7,74,159
9775,10046,271,7,97,166
9783,10055,272,12,96,164
9873,10057,184,2,95,86
9740,10085,345,62,130,152
9505,10058,553,7,105,468
9895,10092,197,96,39,62
9794,10093,299,7,122,169
9875,10130,255,54,107,94
9816,10140,324,41,129,155
9841,10146,305,1,173,131
9821,10149,328,16,160,153
9898,10155,257,61,120,76
9833,10098,265,52,138,133
9853,10165,312,15,165,131
9509,10158,649,3,171,483
9837,10181,344,83,127,134
9857,10198,341,41,173,127
9503,10076,573,17,156,523
9905,10220,315,73,174,67
9897,10242,345,63,201,81
9807,10243,436,2,143,291
9877,10244,367,78,182,107
9825,10273,448,70,227,151
9893,10298,405,70,206,128
9577,10340,763,5,84,675
9814,10467,653,5,124,523
9860,10804,944,19,123,803
9855,11082,1227,13,174,1040
9879,11206,1327,20,131,1177
