creation,exit,response,execution,wait,io
2633,2646,13,3,10,12
2639,2661,22,2,8,16
2643,2671,28,2,15,14
2652,2681,29,3,22,4
2653,2679,26,1,23,4
2660,2682,22,1,21,0
2644,2707,63,7,53,221
2645,2792,147,24,125,133
2647,2832,185,31,156,94
2650,2796,146,26,122,132
2651,2694,43,4,43,232
2654,2692,38,5,46,226
2657,2683,26,1,39,235
2656,2709,53,6,60,210
2634,2934,300,67,232,5
2632,2938,306,67,237,3
2658,2857,199,36,179,59
2659,2684,25,3,38,232
2655,2680,25,1,60,229
2636,2796,160,27,145,149
2662,3003,341,10,95,336
2631,2768,137,34,131,312
2667,3116,449,6,50,393
2627,3119,492,131,359,3
2665,3136,471,10,69,397
2669,3126,457,6,58,409
2682,3147,465,2,51,412
2648,3094,446,101,365,41
2629,3145,516,2,49,475
2638,2947,309,1,60,457
2641,3005,364,69,306,140
2649,3190,541,131,404,89
2622,3275,653,20,42,589
2635,3102,467,56,401,183
2637,3275,638,2,52,584
2642,3099,457,107,367,159
2661,3247,586,51,297,264
2625,3280,655,9,33,612
2646,3280,634,63,340,231
2663,3150,487,13,91,506
2664,3170,506,21,84,504
2666,3153,487,11,83,513
2668,3150,482,10,80,515
2670,3276,606,1,72,533
2672,3241,569,43,131,427
2673,3187,514,19,95,486
2675,3255,580,52,129,420
2677,3146,469,1,66,533
2678,3167,489,16,72,508
2680,3242,562,42,122,433
2683,3270,587,57,142,395
2689,3299,610,69,126,415
2676,3316,640,83,140,417
2684,3321,637,82,154,401
2674,3359,685,62,216,407
2687,3379,692,131,154,407
2640,3389,749,73,293,383
2688,3389,701,54,129,519
2686,3396,710,57,133,520
2690,3413,723,70,141,512
2671,3450,779,6,74,701
2681,3884,1203,15,60,1128
2679,4071,1392,24,68,1302
2685,4271,1586,22,72,1493
4319,4327,8,2,3,3
4325,4330,5,2,3,0
4329,4335,6,4,2,0
4330,4367,37,9,33,2
4338,4373,35,3,23,9
4339,4366,27,1,21,12
4341,4381,40,1,32,7
4343,4382,39,1,34,4
4346,4365,19,1,29,7
4337,4383,46,4,41,9
4345,4394,49,3,44,72
4322,4480,158,29,130,47
4317,4705,388,57,310,20
4344,4597,253,38,213,117
4336,4553,217,30,184,168
4348,4443,95,11,99,254
4315,4534,219,38,182,230
4320,4658,338,67,281,131
4324,4714,390,1,56,415
4327,4709,382,71,323,75
4340,4404,64,5,86,368
4313,4804,491,2,66,422
4342,4392,50,5,72,377
4349,4487,138,17,121,225
4350,4512,162,21,160,265
4351,4438,87,9,83,269
4352,4445,93,11,87,262
4353,4417,64,5,84,357
4312,4846,534,141,392,1
4328,4764,436,91,365,63
4331,4438,107,20,132,364
4333,4568,235,33,219,262
4334,4808,474,113,359,44
4335,4812,477,110,366,39
4354,4440,86,9,82,267
4355,4428,73,6,87,348
4356,4796,440,2,134,308
4359,4633,274,19,191,181
4363,4808,445,1,60,426
4364,4844,480,12,65,403
4368,4845,477,1,52,424
4306,4852,546,19,34,498
4310,4850,540,10,29,511
4366,4921,555,42,116,397
4361,4931,570,49,127,397
4323,4934,611,2,95,514
4358,4938,580,49,147,384
4347,4958,611,58,304,249
4360,4973,613,66,256,291
4369,4984,615,54,145,416
4321,4988,667,71,480,116
4326,4999,673,73,499,101
4375,5006,631,68,128,435
4362,5010,648,87,157,404
4370,5042,672,90,149,433
4357,5047,690,1,92,597
4373,5051,678,100,142,436
4332,5072,740,67,185,488
4372,5075,703,68,231,405
4374,5088,714,63,219,432
4376,5111,735,83,182,471
4367,5555,1188,8,70,1110
4365,5674,1309,12,55,1243
4371,5927,1556,16,48,1492
5963,5989,26,2,15,9
5969,5991,22,2,13,17
5966,6037,71,34,39,6
5973,6047,74,1,20,57
5983,5991,8,3,18,50
5984,6058,74,1,21,52
5982,6060,78,3,21,54
5960,6062,102,33,66,3
5986,6062,76,2,33,53
5988,6074,86,1,32,53
5975,6072,97,7,39,57
5985,6083,98,3,42,54
5996,6129,133,8,81,112
5993,6140,147,10,87,208
5997,6167,170,14,121,167
5976,6173,197,22,139,162
5978,6232,254,30,178,115
5981,6196,215,25,147,150
5987,6084,97,5,57,255
5990,6086,96,4,61,250
5994,6176,182,16,125,171
5989,6309,320,43,225,180
5962,6256,294,62,235,178
5964,6240,276,65,224,184
5995,6223,228,24,165,254
5998,6113,115,6,88,350
6001,6437,436,1,101,341
5971,6373,402,73,319,85
5979,6435,456,99,313,58
5991,6076,85,1,71,387
6009,6450,441,3,53,385
5968,6455,487,1,75,446
5972,6480,508,113,351,54
6010,6482,472,13,76,392
5954,6445,491,11,33,493
5999,6465,466,9,81,403
6014,6458,444,2,66,427
5956,6511,555,154,399,72
6012,6573,561,42,137,395
5980,6502,522,118,357,132
5952,6587,635,22,36,576
5958,6454,496,3,74,557
6002,6588,586,2,129,462
6000,6457,457,6,91,498
6003,6574,571,51,141,400
6004,6507,503,21,107,464
6007,6577,570,51,142,395
5967,6600,633,1,65,567
6015,6576,561,42,150,393
5977,6603,626,64,289,273
5965,6605,640,70,370,200
6021,6628,607,55,125,427
5970,6629,659,76,465,118
6008,6641,633,87,158,388
5992,6699,707,63,315,329
6016,6702,686,98,174,414
6005,6706,701,69,229,402
6020,6733,713,63,154,496
6018,6734,716,66,164,486
6022,6748,726,78,159,489
6019,6768,749,132,117,501
6013,7225,1212,14,67,1131
6011,7397,1386,13,100,1275
6017,7692,1675,19,87,1570
