creation,exit,response,execution,wait,io
611,653,42,36,4,1
614,657,43,4,37,2
613,697,84,78,4,2
647,709,62,12,50,0
649,720,71,10,61,0
615,726,111,68,42,1
646,734,88,7,81,0
648,741,93,6,87,0
650,747,97,6,91,0
653,764,111,41,70,0
654,767,113,20,93,0
656,818,162,53,109,0
657,841,184,74,110,0
655,875,220,52,168,0
641,877,236,2,234,0
617,888,271,29,242,0
658,891,233,2,231,0
670,933,263,52,211,0
616,941,325,53,272,0
642,988,346,47,297,2
620,1004,384,1,383,0
668,1040,372,98,274,0
638,1042,404,1,403,0
640,1046,406,3,403,0
643,1059,416,13,403,0
645,1079,434,20,414,0
659,1095,436,15,421,0
661,1135,474,39,435,0
663,1137,474,2,472,0
665,1211,546,73,473,0
651,1215,564,1,70,493
667,1275,608,52,554,2
669,1320,651,51,595,5
622,1369,747,364,383,0
623,1436,813,89,724,0
624,1438,814,3,811,0
609,1439,830,825,2,3
621,1447,826,59,767,0
625,1468,843,7,836,0
644,1482,838,14,824,0
626,1513,887,45,842,0
631,1540,909,24,885,0
664,1547,883,98,785,0
627,1565,938,51,885,2
671,1585,914,65,848,1
639,1619,980,33,947,0
628,1713,1085,142,943,0
632,1718,1086,4,1082,0
634,1719,1085,1,1084,0
636,1721,1085,1,1084,0
619,1733,1114,0,331,783
633,1747,1114,2,1112,0
635,1750,1115,3,1112,0
637,1755,1118,4,1114,0
610,1894,1284,3,0,1281
652,1895,1243,1,70,1172
629,2179,1550,585,965,0
606,2317,1711,12,0,1698
608,2318,1710,7,1,1702
618,2327,1709,1,384,1324
630,2430,1800,787,1013,0
662,2508,1846,3,708,1135
660,2715,2055,4,789,1263
666,2855,2189,5,782,1402
463,504,41,35,2,4
465,509,44,5,37,2
489,511,22,2,20,0
496,542,46,27,19,0
464,547,83,73,7,5
468,580,112,29,79,4
461,601,140,136,2,2
466,619,153,69,80,4
495,629,134,17,115,2
499,635,136,4,130,2
493,637,144,59,83,2
467,670,203,62,141,0
471,684,213,1,212,0
515,687,172,51,120,1
473,752,279,66,213,0
519,759,240,97,142,1
475,777,302,1,300,1
481,798,317,106,211,0
472,798,326,68,259,0
476,817,341,7,334,0
479,851,372,39,333,0
498,863,365,11,354,0
501,870,369,6,363,0
478,880,402,62,340,0
514,883,369,2,367,0
474,887,413,113,300,0
477,911,434,22,411,1
486,915,429,3,426,0
488,920,432,5,427,0
490,961,471,41,430,0
491,964,473,3,470,0
494,975,481,10,471,0
500,984,484,9,475,0
482,993,511,102,408,1
483,1000,517,4,513,0
487,1001,514,1,513,0
504,1036,532,52,480,0
506,1062,556,62,494,0
492,1064,572,1,571,0
497,1072,575,8,567,0
521,1089,568,52,516,0
505,1089,584,16,568,0
484,1117,633,3,630,0
507,1139,632,50,582,0
509,1141,632,1,631,0
512,1188,676,47,629,0
516,1263,747,74,673,0
518,1337,819,61,755,3
520,1394,874,59,805,10
485,1422,937,1,936,0
510,1437,927,15,911,1
480,1469,989,581,408,0
502,1477,975,2,369,604
470,1487,1017,2,75,940
522,1555,1033,72,961,0
508,1607,1099,490,609,0
503,1625,1122,3,132,987
457,1792,1335,15,0,1319
460,1798,1338,7,0,1331
462,1802,1340,3,10,1328
469,2066,1597,6,212,1379
513,2268,1755,10,942,806
511,2333,1822,5,125,1693
517,2511,1994,8,357,1629
2533,2579,46,40,4,2
2535,2548,13,3,9,1
2567,2593,26,14,12,0
2543,2626,83,78,5,0
2570,2635,65,8,57,0
2582,2637,55,41,14,0
2584,2640,56,2,54,0
2574,2682,108,43,65,0
2545,2700,155,2,146,7
2546,2707,161,6,153,2
2534,2751,217,56,154,7
2542,2779,237,71,158,8
2550,2835,285,83,200,2
2548,2853,305,59,243,3
2552,2886,334,29,303,2
2553,2890,337,3,324,10
2555,2892,337,1,326,10
2557,2894,337,1,326,10
2558,2898,340,4,332,4
2559,2900,341,1,330,10
2561,2903,342,3,329,10
2562,2905,343,1,338,4
2551,2922,371,103,263,7
2566,2950,384,24,336,24
2569,2955,386,5,351,30
2571,2961,390,5,356,29
2575,2980,405,18,358,29
2563,2983,420,59,351,10
2577,3031,454,48,377,29
2576,3041,465,60,381,24
2585,3090,505,49,433,23
2586,3092,506,80,426,0
2578,3121,543,89,431,23
2588,3179,591,61,519,11
2589,3191,602,94,508,0
2591,3233,642,53,587,2
2536,3265,729,67,661,1
2537,3314,777,62,714,1
2592,3323,731,72,650,9
2541,3329,788,1,787,0
2554,3332,778,2,776,0
2531,3336,805,801,1,3
2564,3346,782,14,768,0
2579,3348,769,1,768,0
2538,3424,886,79,807,0
2547,3450,903,21,882,0
2549,3471,922,142,780,0
2560,3484,924,33,891,0
2565,3488,923,17,906,0
2580,3499,919,15,904,0
2568,3500,932,11,921,0
2572,3502,930,1,64,865
2556,3514,958,2,956,0
2590,3568,978,60,918,0
2540,3688,1148,1,787,360
2573,3776,1203,2,64,1137
2544,3937,1393,577,815,1
2528,3942,1414,7,1,1405
2523,3978,1455,16,0,1439
2532,3994,1462,3,4,1456
2539,4160,1621,6,155,1460
2583,4272,1689,5,102,1582
2581,4296,1715,3,15,1697
2587,4613,2026,5,498,1523
