creation,exit,response,execution,wait,io
4848,4967,119,106,13,0
4856,4896,40,32,4,4
4858,4964,106,61,42,2
4860,4976,116,3,112,1
4861,5037,176,59,117,0
4896,5001,105,25,79,0
4967,5440,473,2,319,152
5001,5047,46,1,45,0
5442,5458,16,4,11,0
5031,5111,80,64,16,0
5037,5137,100,84,15,0
5111,5135,24,3,21,0
5135,5167,32,8,24,0
5137,5183,46,21,24,0
5183,5278,95,37,27,30
5193,5333,140,82,37,20
5211,5409,198,100,98,0
5221,5389,168,26,141,0
5278,5424,146,4,141,0
5333,5442,109,2,106,0
5389,5459,70,1,68,0
5409,5476,67,3,63,0
5424,5491,67,2,65,0
5459,5507,48,1,46,0
5476,5559,83,38,45,0
5491,5540,49,2,47,0
5507,5571,64,1,62,0
5559,5727,168,13,42,113
5588,5747,159,22,27,109
5599,5735,136,7,43,98
5616,5758,142,11,46,84
5684,5782,98,47,18,33
5571,5590,19,17,77,135
5626,5807,181,6,97,78
5690,5878,188,70,88,30
5691,5759,68,1,39,27
5700,5800,100,41,36,23
4855,5801,946,1,444,581
5707,5898,191,94,78,19
4964,5900,936,2,582,351
4862,5958,1096,50,1000,46
5015,5942,927,65,202,660
5167,5991,824,52,207,565
5706,6007,301,52,228,21
4847,5804,957,7,214,940
5541,6039,498,48,308,142
5641,6020,379,11,295,72
5647,6046,399,5,324,70
5697,6059,362,12,314,36
5709,6074,365,54,284,27
5676,6116,440,38,344,58
5708,6117,409,51,330,28
5702,6122,420,3,377,40
4846,5803,957,12,303,961
5677,6138,461,16,384,61
5703,6168,465,50,375,40
5683,6190,507,54,386,67
5704,6248,544,79,425,40
5662,6249,587,2,340,244
5710,6256,546,61,452,33
5665,6465,800,2,389,409
5701,6879,1178,2,329,848
5698,7049,1351,2,289,1060
5705,7235,1530,1,242,1287
10604,10732,128,113,15,0
10606,10651,45,29,10,6
10613,10744,131,61,64,5
10616,10653,37,2,30,4
10618,10803,185,60,123,2
10620,10677,57,24,33,0
10677,11196,519,2,297,220
10732,10821,89,1,88,0
10759,10850,91,78,14,0
11226,11258,32,1,61,0
10803,10907,104,85,19,0
10851,10873,22,2,20,0
10873,10900,27,6,21,0
10900,10945,45,20,25,102
10931,11085,154,37,27,89
10945,11165,220,102,43,74
10958,11228,270,113,96,60
10973,11226,253,30,179,44
10987,11262,275,4,240,30
11003,11291,288,2,272,14
11017,11297,280,1,278,0
11033,11329,296,3,293,0
11085,11263,178,1,177,0
11165,11295,130,4,125,0
11228,11340,112,43,68,0
11258,11266,8,3,4,0
11266,11330,64,1,62,0
11330,11512,182,16,40,125
11340,11523,183,15,25,155
11361,11535,174,23,17,134
11391,11535,144,12,25,107
11397,11540,143,5,51,86
11452,11557,105,17,45,43
10744,11603,859,71,57,730
11369,11612,243,8,100,134
10619,11638,1019,62,940,17
10605,11639,1034,1,310,723
10621,11640,1019,2,509,508
10907,11670,763,63,136,564
11419,11685,266,11,171,84
11295,11695,400,60,203,136
11422,11691,269,5,187,76
10603,11686,1083,8,128,957
11470,11764,294,74,187,33
11486,11787,301,88,190,23
11451,11811,360,45,258,57
11464,11836,372,46,287,39
11474,11814,340,2,307,31
11477,11851,374,13,331,29
11481,11853,372,39,306,27
11484,11855,371,3,342,26
11485,11898,413,44,344,25
11489,11949,460,92,347,21
11432,11950,518,1,267,250
11491,11955,464,54,392,23
10601,11674,1073,14,369,976
11462,12020,558,62,446,49
11490,12027,537,58,401,78
11488,12080,592,64,408,120
11492,12096,604,69,504,31
11443,12249,806,3,279,524
11482,12621,1139,2,218,918
11479,12817,1338,2,193,1142
11487,13067,1580,3,389,1189
13077,13203,126,111,15,0
13084,13122,38,27,4,6
13087,13182,95,55,36,4
13089,13194,105,3,99,3
13090,13273,183,59,122,2
13092,13222,130,28,102,0
13123,13664,541,2,328,211
13182,13336,154,1,152,0
13222,13315,93,79,14,0
13273,13401,128,108,19,0
13689,13758,69,39,29,0
13315,13338,23,2,21,0
13338,13366,28,7,20,0
13366,13408,42,18,23,0
13409,13578,169,30,27,112
13428,13634,206,79,37,90
13436,13707,271,98,89,83
13458,13689,231,25,146,60
13465,13741,276,4,218,53
13488,13777,289,2,257,30
13495,13789,294,1,269,23
13518,13952,434,4,296,137
13525,13778,253,1,251,0
13579,13745,166,4,162,0
13634,13791,157,2,154,0
13707,13782,75,4,71,0
13745,13950,205,2,68,136
13782,13968,186,14,35,137
13791,13979,188,16,36,136
13820,13976,156,8,30,118
13839,13991,152,14,31,107
13930,13977,47,2,19,26
13936,13981,45,2,20,23
13937,14033,96,42,30,24
13938,14076,138,91,24,23
13811,14099,288,22,119,147
13091,14114,1023,61,943,19
13203,14165,962,72,179,711
13074,14167,1093,15,110,967
13078,14167,1089,0,319,770
13401,14175,774,62,190,521
13849,14182,333,5,235,92
13911,14201,290,19,228,42
13076,14203,1127,6,155,966
13758,14222,464,59,245,160
13868,14214,346,11,251,84
13093,14224,1131,2,499,630
13876,14230,354,6,278,69
13927,14301,374,71,273,30
13941,14332,391,117,254,20
13932,14348,416,13,375,28
13923,14351,428,46,348,33
13908,14388,480,39,392,49
13934,14391,457,39,392,26
13943,14456,513,64,429,20
13918,14467,549,64,442,42
13942,14522,580,60,491,29
13940,14526,586,63,491,32
13891,14543,652,2,349,301
13944,14593,649,71,551,27
13897,14739,842,2,383,456
13935,15154,1219,3,22,1194
13933,15259,1326,2,198,1126
13939,15509,1570,1,254,1315
