creation,exit,response,execution,wait,io
210,309,99,79,20,0
212,312,100,2,97,1
216,345,129,33,96,0
219,370,151,24,127,0
197,474,277,102,175,0
199,509,310,32,278,0
200,567,367,57,310,0
201,570,369,2,367,0
214,591,377,19,358,0
203,669,466,49,417,0
245,713,468,72,396,0
202,789,587,71,516,0
215,916,701,48,653,0
217,934,717,95,622,0
204,971,767,21,746,0
218,1083,865,111,754,0
220,1088,868,4,864,0
221,1091,870,2,868,0
222,1093,871,1,870,0
223,1097,874,4,870,0
224,1099,875,2,873,0
225,1103,878,4,874,0
226,1105,879,1,878,0
227,1222,995,116,879,0
228,1226,998,3,995,0
231,1239,1008,12,996,0
229,1272,1043,0,1037,6
230,1317,1087,44,1037,6
233,1375,1142,57,1073,12
237,1385,1148,11,1126,11
243,1506,1263,51,1201,11
253,1514,1261,76,1174,11
232,1561,1329,19,1310,0
251,1564,1313,2,1311,0
256,2107,1851,543,1308,0
257,2158,1901,49,1840,12
234,2194,1960,7,1953,0
258,2359,2101,165,1936,0
259,2419,2160,58,2102,0
235,2457,2222,12,2210,0
238,2464,2226,6,2220,0
241,2512,2271,46,2225,0
244,2559,2315,47,2268,0
246,2562,2316,2,2314,0
249,2604,2355,40,2315,0
252,2648,2396,43,2353,0
207,2661,2454,1,2453,0
236,2682,2446,5,2441,0
208,2742,2534,57,2476,0
255,2808,2553,53,2500,0
242,2852,2610,31,2579,0
211,3494,3283,631,2652,0
213,3502,3289,6,3283,0
247,3530,3283,15,3268,0
239,3609,3370,1,2582,787
206,3707,3501,2,2452,1047
240,3808,3568,1,2225,1342
198,4128,3930,2,277,3651
196,4134,3938,13,20,3905
194,4206,4012,20,1,3990
205,4304,4099,1,2229,1869
250,4506,4256,1,3282,973
248,4612,4364,2,2314,2048
254,4746,4492,1,1312,3179
274,383,109,89,20,0
285,393,108,2,106,0
304,405,101,12,89,0
269,1179,910,774,136,0
288,1244,956,61,895,0
289,1275,986,31,955,0
317,1321,1004,45,959,0
319,1323,1004,1,1003,0
322,1363,1041,38,1003,0
271,1395,1124,30,1094,0
272,1448,1176,52,1124,0
273,1452,1179,3,1176,0
277,1479,1202,26,1176,0
275,1544,1269,59,1209,0
298,1548,1250,4,1246,0
316,1683,1367,61,1306,0
326,1693,1367,83,1284,0
290,2290,2000,579,1421,0
300,2325,2025,34,1990,1
305,2340,2035,15,2020,0
311,2346,2035,6,2029,0
320,2362,2042,16,2026,0
324,2364,2040,2,2038,0
328,2513,2185,58,2127,0
329,2516,2187,91,2096,0
280,2535,2255,1,2254,0
291,3274,2983,739,2244,0
294,3277,2983,2,2981,0
299,3279,2980,1,2979,0
308,3292,2984,12,2972,0
310,3301,2991,8,2983,0
325,3347,3022,42,2980,0
292,3393,3101,28,3073,0
295,3410,3115,0,3115,0
281,3478,3197,67,3130,0
296,3497,3201,3,3198,0
330,3597,3267,65,3202,0
331,3626,3295,64,3231,0
282,4110,3828,468,3360,0
297,4112,3815,1,3814,0
301,4116,3815,3,3812,0
306,4136,3830,20,3810,0
318,4227,3909,92,3817,0
312,4239,3927,1,2998,928
302,4250,3948,1,3947,0
303,4380,4077,61,4016,0
332,4408,4076,74,4002,0
283,5049,4766,623,4142,0
307,5057,4750,7,4740,3
314,5106,4792,48,4741,3
286,5126,4840,7,4833,0
287,5144,4857,17,4840,0
309,5150,4841,5,4836,0
315,5166,4851,15,4836,0
293,5213,4920,3,4917,0
279,5242,4963,2,1430,3531
313,5519,5206,1,2990,2215
270,5583,5313,3,20,5290
278,5828,5550,1,1206,4343
268,5912,5644,8,115,5521
267,5913,5646,19,2,5625
323,5992,5669,2,1157,4510
321,5993,5672,1,1013,4658
327,6302,5975,1,2038,3936
6305,6454,149,118,31,0
6307,6483,176,26,150,0
6321,6486,165,2,163,0
6322,6492,170,6,164,0
6323,6514,191,21,170,0
6328,6541,213,26,187,0
6308,6612,304,70,234,0
6329,6618,289,5,284,0
6324,6685,361,57,304,0
