creation,exit,response,execution,wait,io
4392,4514,122,110,12,0
4394,4439,45,33,6,6
4395,4519,124,56,63,5
4396,4403,7,3,1,3
4398,4468,70,65,4,1
4400,5058,658,59,595,4
4406,4462,56,23,33,0
4468,4997,529,1,124,408
4474,4503,29,1,27,0
4491,4573,82,70,12,0
4514,4630,116,104,12,0
4519,4532,13,2,10,0
4532,4550,18,7,11,0
4550,4586,36,22,14,0
4586,4642,56,35,20,0
4589,4700,111,98,12,0
4631,4772,141,116,25,0
4642,4687,45,25,20,0
4687,4715,28,3,24,0
4700,4726,26,2,23,0
4715,4743,28,1,26,0
4727,4757,30,3,27,0
4743,4772,29,1,28,0
4757,4789,32,4,27,0
4772,4791,19,1,32,0
4790,4827,37,36,1,0
4791,4808,17,3,14,0
4806,4836,30,1,29,0
4827,5025,198,14,32,151
4836,5030,194,16,19,176
4837,5047,210,21,34,154
4858,5010,152,8,44,137
4929,5084,155,54,24,77
4971,5060,89,2,50,37
4935,5145,210,86,46,78
4391,5146,755,8,44,703
4986,5162,176,99,49,28
4388,5163,775,18,17,739
4483,5163,680,63,170,447
4393,5163,770,1,211,562
4867,5169,302,5,167,129
4866,5058,192,11,147,148
4918,5190,272,16,160,96
4573,5198,625,57,180,387
4886,5202,316,9,177,130
4808,5219,411,50,211,149
4887,5206,319,6,194,133
4940,5206,266,1,193,71
4950,5220,270,13,190,66
4961,5261,300,40,205,55
4990,5262,272,53,186,33
4915,5266,351,42,199,109
4919,5314,395,57,250,88
4987,5317,330,50,144,135
4462,5318,856,3,169,684
4983,5320,337,55,252,29
4976,5374,398,56,292,50
4991,5376,385,64,297,24
4980,5399,419,79,242,99
4889,5417,528,5,197,326
4902,5615,713,6,252,456
4970,6069,1099,12,238,849
4956,6212,1256,19,232,1006
4982,6331,1349,16,52,1282
8250,8391,141,133,5,3
8252,8291,39,28,3,8
8253,8318,65,56,2,7
8254,8325,71,2,65,4
8257,8393,136,67,68,1
8261,8320,59,29,29,1
8318,8696,378,1,243,271
8320,8344,24,1,16,7
8332,8410,78,66,11,0
8391,8494,103,89,14,0
8393,8419,26,1,25,0
8696,8875,179,19,29,130
8405,8426,21,7,14,0
8410,8446,36,22,15,35
8441,8519,78,37,16,24
8446,8594,148,100,30,18
8457,8617,160,102,51,7
8463,8573,110,31,78,0
8474,8603,129,4,124,0
8494,8626,132,2,129,0
8519,8633,114,1,113,0
8573,8651,78,3,75,0
8594,8662,68,1,66,0
8603,8630,27,4,22,0
8617,8635,18,2,15,0
8630,8699,69,36,34,133
8635,8654,19,3,16,0
8654,8666,12,1,10,0
8685,8878,193,9,16,168
8699,8893,194,24,17,152
8715,8882,167,7,20,140
8791,8897,106,20,13,74
8793,8945,152,46,41,65
8841,8974,133,76,30,27
8833,8976,143,2,102,39
8249,8960,711,8,17,704
8251,8978,727,4,208,515
8260,9025,765,65,644,56
8426,9024,598,62,175,361
8729,9030,301,5,168,128
8801,8961,160,78,40,59
8810,8981,171,2,109,60
8811,9043,232,13,166,52
8826,9071,245,45,156,44
8247,8960,713,15,109,699
8846,9076,230,95,108,27
8834,9101,267,44,185,37
8726,9116,390,11,224,154
8666,9135,469,59,236,173
8849,9138,289,60,195,34
8744,9148,404,10,261,133
8326,9188,862,75,198,588
8755,9195,440,6,302,131
8850,9218,368,75,268,25
8843,9196,353,62,281,33
8262,9220,958,2,223,732
8781,9237,456,41,318,97
8792,9262,470,64,325,81
8847,9286,439,63,317,60
8757,9322,565,4,314,247
8769,9534,765,7,333,425
8827,9820,993,9,191,792
8819,9995,1176,12,193,974
8842,10230,1388,19,197,1172
10245,10369,124,113,46,71
10247,10294,47,28,7,10
10250,10388,138,69,96,60
10519,10529,10,7,2,0
10253,10266,13,2,4,6
10257,10325,68,61,2,5
10259,10317,58,23,31,4
10263,10442,179,1,108,70
10317,10519,202,77,27,98
10325,10553,228,101,19,107
10332,10455,123,1,23,98
10341,10498,157,6,60,90
10349,10474,125,19,24,81
10367,10566,199,29,108,61
10369,10621,252,82,111,59
10378,10676,298,100,147,50
10380,10616,236,25,163,48
10388,10502,114,4,60,50
10389,10647,258,2,207,48
10391,10651,260,1,220,39
10400,10684,284,3,243,38
10404,10503,99,1,65,33
10409,10651,242,4,241,29
10413,10505,92,2,70,20
10422,10694,272,43,210,18
10424,10686,262,2,245,15
10427,10506,79,1,72,6
10439,10515,76,9,67,0
10474,10700,226,14,211,0
10515,10896,381,32,191,157
10553,10892,339,15,174,151
10566,10885,319,5,142,180
10616,10894,278,9,113,156
10621,10872,251,7,85,167
10694,10936,242,44,40,157
10701,10962,261,17,67,177
10246,10939,693,1,146,570
10258,10978,720,62,626,32
10782,10995,213,101,17,95
10721,11035,314,52,101,161
10728,10997,269,1,112,155
10261,10865,604,2,274,459
10749,11037,288,40,125,122
10724,11046,322,82,82,158
10244,11042,798,8,116,679
10436,11094,658,61,431,166
10765,11050,285,2,167,116
10768,11100,332,44,182,105
10743,11056,313,14,202,144
10243,11042,799,16,160,691
10800,11154,354,96,171,88
10651,11111,460,2,183,319
10804,11171,367,71,220,75
10704,11174,470,65,221,183
10802,11225,423,63,262,98
10787,11233,446,61,247,137
10358,11235,877,64,342,470
10817,11299,482,77,323,83
10266,11304,1038,76,359,603
10260,11393,1133,1,219,913
10676,11394,718,6,67,645
10763,11857,1094,14,165,918
10745,12031,1286,10,169,1107
10784,12212,1428,18,174,1237
